YYYYMM,Long_ACCRUAL_ADJ,Short_ACCRUAL_ADJ,Spread_ACCRUAL_ADJ,Long_ASSET_GROWTH,Short_ASSET_GROWTH,Spread_ASSET_GROWTH,Long_COMPOSITE_ISSUE,Short_COMPOSITE_ISSUE,Spread_COMPOSITE_ISSUE,Long_DISTRESS,Short_DISTRESS,Spread_DISTRESS,Long_GP_ADJ,Short_GP_ADJ,Spread_GP_ADJ,Long_INVASSET,Short_INVASSET,Spread_INVASSET,Long_MOMENTUM,Short_MOMENTUM,Spread_MOMENTUM,Long_NOA,Short_NOA,Spread_NOA,Long_OSCORE,Short_OSCORE,Spread_OSCORE,Long_ROA,Short_ROA,Spread_ROA,Long_STOCK_ISSUE,Short_STOCK_ISSUE,Spread_STOCK_ISSUE
196301,,,,0.061724,0.034544,0.027180067,0.051313,0.046133,0.00517985,,,,0.053793,0.063088,-0.009295218,0.086967,0.034183,0.052784628,0.030475,0.048617,-0.01814195,,,,0.052435,0.041742,0.010692989,,,,0.028612,0.061975,-0.033362859
196302,,,,0.001958,-0.026226,0.028183699,-0.025385,-0.030716,0.005331005,,,,-0.020837,-0.015196,-0.005640568,0.022422,-0.029752,0.0521745,-0.015824,-0.037999,0.022175258,,,,-0.029411,-0.014814,-0.014597815,,,,-0.012011,-0.030436,0.018425243
196303,,,,0.002443,0.041683,-0.039239593,0.03692,0.035157,0.001762977,,,,0.018384,0.017884,0.000499798,0.049686,0.048112,0.001573295,0.053909,0.019097,0.034812165,,,,0.05654,0.010803,0.04573683,,,,0.049659,0.019131,0.030528244
196304,,,,0.034969,0.044037,-0.009067188,0.049032,0.052865,-0.003832864,,,,0.041722,0.01996,0.021761515,0.071454,0.043518,0.027935571,0.050672,0.037088,0.013584573,,,,0.045619,0.051971,-0.006351248,,,,0.049337,0.033242,0.016095194
196305,,,,0.01941,0.032952,-0.0135425,0.022153,0.030718,-0.008564715,,,,0.007735,0.013079,-0.005344289,0.071645,0.022953,0.048691801,0.031013,0.028466,0.00254732,0.073054,-0.002971,0.076025818,0.016119,0.030207,-0.014087877,,,,0.013204,0.020268,-0.007063914
196306,,,,-0.028886,-0.004726,-0.024160022,-0.021887,-0.024427,0.002539827,,,,-0.000543,-0.01033,0.009787376,-0.030104,-0.014745,-0.015358339,-0.019254,-0.019183,-0.000071494,-0.031498,-0.014587,-0.016910816,-0.017848,-0.015404,-0.00244451,,,,-0.006537,-0.015346,0.008808788
196307,,,,-0.023021,-0.015814,-0.007207176,-0.021586,-0.014256,-0.007329793,,,,-0.003448,0.009063,-0.012510634,-0.034516,-0.006186,-0.028329768,0.004495,-0.026642,0.03113733,0.005476,-0.004661,0.01013653,0.011093,-0.003783,0.014875179,,,,0.007974,-0.004294,0.012267807
196308,,,,0.052996,0.069837,-0.016841105,0.046815,0.062096,-0.015280323,,,,0.066794,0.046806,0.019987197,0.110233,0.064799,0.04543411,0.095166,0.06135,0.033815161,0.070836,0.051095,0.019741017,0.044739,0.036898,0.007840636,,,,0.05557,0.068579,-0.013009145
196309,,,,-0.008882,0.009443,-0.018325121,-0.00802,-0.027405,0.019384796,,,,-0.019116,-0.026955,0.007839117,0.01701,-0.042605,0.059615156,-0.019686,-0.033946,0.014259627,0.003941,0.02382,-0.01987929,-0.01308,-0.035852,0.022771554,,,,-0.023615,-0.038053,0.014438804
196310,,,,0.030664,0.020559,0.010105554,0.01392,0.01368,0.000239748,,,,0.011896,0.003655,0.008241539,0.039589,0.003125,0.036464215,0.054162,0.01632,0.03784207,0.125659,0.031756,0.093903018,0.053502,0.015573,0.03792874,,,,0.006131,-0.000275,0.006406016
