year,mktrf,smb,hml,rf,umd
196301,0.0493,0.0306,0.0226,0.0025,-0.021
196302,-0.0238,0.005,0.0221,0.0023,0.0252
196303,0.0308,-0.0262,0.021,0.0023,0.0156
196304,0.0451,-0.0131,0.0101,0.0025,-0.0008
196305,0.0176,0.0112,0.025,0.0024,0.0037
196306,-0.02,-0.0025,0.007,0.0023,0.0117
196307,-0.0039,-0.0056,-0.0083,0.0027,0.01
196308,0.0507,-0.0094,0.0167,0.0025,0.0103
196309,-0.0157,-0.0031,0.0018,0.0027,0.0016
196310,0.0253,-0.0054,-0.001,0.0029,0.0314
196311,-0.0085,-0.0113,0.0171,0.0027,-0.0075
196312,0.0183,-0.0197,-0.0012,0.0029,0.017
196401,0.0224,-0.0019,0.0159,0.003,0.0106
196402,0.0154,0.001,0.0283,0.0026,0.0024
196403,0.0141,0.0099,0.0332,0.0031,0.0072
196404,0.001,-0.0137,-0.0055,0.0029,-0.006
196405,0.0142,-0.009,0.0198,0.0026,0.0254
196406,0.0127,-0.0026,0.0068,0.003,0.0045
196407,0.0174,0.0028,0.0068,0.003,-0.0037
196408,-0.0144,0.0009,0.0009,0.0028,-0.0019
196409,0.0269,-0.0051,0.0165,0.0028,-0.0039
196410,0.0059,0.0043,0.0114,0.0029,0.0008
196411,0,0.0061,-0.0198,0.0029,0.0108
196412,0.0003,-0.0026,-0.0255,0.0031,-0.0069
196501,0.0354,0.027,0.0018,0.0028,-0.0128
196502,0.0044,0.0348,0.0022,0.003,0.003
196503,-0.0134,0.0179,0.0109,0.0036,0.001
196504,0.0311,0.012,0.0071,0.0031,0.0254
196505,-0.0077,0.0004,-0.0163,0.0031,0.0054
196506,-0.0551,-0.0435,0.0055,0.0035,-0.0312
196507,0.0143,0.0087,0.0218,0.0031,0.041
196508,0.0273,0.0281,-0.0096,0.0033,0.0258
196509,0.0286,0.0061,-0.001,0.0031,0.0336
196510,0.026,0.0248,0.0152,0.0031,0.0345
196511,-0.0003,0.0468,0.0021,0.0035,0.0442
196512,0.0101,0.0208,0.0195,0.0033,0.0009
196601,0.0072,0.0389,0.0349,0.0038,0.0541
196602,-0.0121,0.0454,0.0027,0.0035,0.0458
196603,-0.0251,0.0094,-0.0207,0.0038,0.0134
196604,0.0214,0.0345,-0.0054,0.0034,0.0618
196605,-0.0566,-0.047,-0.0155,0.0041,-0.0469
196606,-0.0144,0.0102,0.005,0.0038,0.0328
196607,-0.0163,-0.0044,0.0096,0.0035,-0.0139
196608,-0.0791,-0.0323,0.0047,0.0041,-0.0211
196609,-0.0106,-0.0107,0.0053,0.004,-0.0173
196610,0.0386,-0.0664,0.0287,0.0045,-0.0513
196611,0.014,0.0422,-0.0446,0.004,0.0573
196612,0.0013,0.0186,-0.0122,0.004,0.0107
196701,0.0815,0.0832,0.0222,0.0043,-0.0675
196702,0.0078,0.0334,-0.0217,0.0036,0.0356
196703,0.0399,0.0163,0.0031,0.0039,0.0142
196704,0.0389,0.0062,-0.0264,0.0032,0.0064
196705,-0.0433,0.0198,0.008,0.0033,0.0067
196706,0.0241,0.0596,0.0096,0.0027,0.0603
