year,b10ret,b5ret,b2ret,b1ret,t90ret,t30ret
196301,0.003295,-0.002873,0.005349,0.002809,0.002582,0.002512
196302,-0.002189,0.001717,0.001695,0.002577,0.002367,0.00226
196303,0.002561,0.002739,0.002436,0.002439,0.002381,0.002262
196304,-0.00071,0.003351,0.00152,0.002847,0.00271,0.002661
196305,0.003268,0.001075,0.003454,0.001777,0.002403,0.00243
196306,0.002345,0.001376,0.003426,0.002935,0.002404,0.002282
196307,0.003814,-0.000019,-0.00386,-0.000125,0.002704,0.002784
196308,0.001601,0.001811,0.00222,0.002454,0.002635,0.002484
196309,-0.001738,0.002233,0.002621,0.003384,0.002957,0.002755
196310,-0.000068,0.001107,0.001684,0.001859,0.002884,0.002919
196311,0.006321,0.004649,0.002436,0.002828,0.002894,0.002659
196312,0.001292,-0.00004,0.001836,0.003292,0.00317,0.00306
196401,0.002743,0.003632,0.003966,0.004718,0.003224,0.002866
196402,0.000557,0.001164,0.001507,0.001689,0.002678,0.002636
196403,0.000713,0.001331,0.001634,0.00416,0.003407,0.003298
196404,0.004515,0.003609,0.004932,0.005247,0.003194,0.002904
196405,0.00616,0.007737,0.004072,0.002527,0.002796,0.00257
196406,0.0069,0.003895,0.005435,0.003922,0.003248,0.003136
196407,0.001993,0.00274,0.004268,0.004481,0.003193,0.002808
196408,0.001414,0.002714,0.002091,0.001992,0.003001,0.002772
196409,0.005432,0.004195,0.002125,0.002759,0.002836,0.002686
196410,0.005403,0.003245,0.002432,0.002283,0.003194,0.002997
196411,0.000166,0.000866,0.000364,0.001492,0.002778,0.002915
196412,0.004682,0.00242,0.005865,0.005349,0.003514,0.00304
196501,0.00508,0.00499,0.003461,0.00301,0.002994,0.002915
196502,0.001773,0.001216,0.001202,0.001688,0.002867,0.003198
196503,0.003579,0.004587,0.003959,0.004608,0.003865,0.003486
196504,0.003242,0.002677,0.003642,0.003267,0.003387,0.003118
196505,0.003308,0.002779,0.003525,0.003323,0.003133,0.003283
196506,0.004833,0.005189,0.005585,0.004733,0.003749,0.00338
196507,-0.000436,0.002047,0.00215,0.002649,0.003254,0.003218
196508,-0.003378,0.001923,0.001706,0.002524,0.003402,0.003309
196509,-0.001144,-0.000807,-0.000482,0.002046,0.003095,0.003114
196510,-0.003185,0.000342,0.003169,0.004043,0.003507,0.003391
196511,-0.000925,0.000356,0.003166,0.003144,0.003714,0.00338
196512,-0.010073,-0.015176,-0.00508,0.000313,0.002989,0.003126
196601,-0.004308,-0.000069,0.005615,0.00522,0.003798,0.00363
196602,-0.018393,-0.008042,0.002089,0.002418,0.003627,0.003481
196603,0.030315,0.018721,0.008102,0.00692,0.004261,0.003795
196604,-0.006531,-0.001854,0.001862,0.003993,0.003549,0.003638
196605,-0.00156,0.001071,0.001212,0.00337,0.004348,0.004043
196606,-0.010467,-0.001741,0.003224,0.004341,0.004119,0.003672
196607,0.00076,-0.003152,0.002414,0.000767,0.003655,0.003847
196608,-0.020345,-0.012467,-0.007638,0.000033,0.00419,0.004119
196609,0.027564,0.024194,0.012603,0.004677,0.003658,0.00389
196610,0.018052,0.006043,0.00618,0.004054,0.005812,0.004389
196611,-0.011948,0.000714,0.002904,0.005169,0.004828,0.003932
196612,0.041627,0.02832,0.015186,0.008867,0.004999,0.00363
196701,0.016689,0.010552,0.01038,0.007289,0.004775,0.003927
196702,-0.018038,-0.001004,0.000873,0.002693,0.003464,0.003743
196703,0.021025,0.018752,0.01358,0.00878,0.004846,0.003693
196704,-0.024235,-0.007742,0.000281,0.002083,0.003839,0.003344
196705,-0.000111,0.003731,0.004885,0.004229,0.004101,0.003126
196706,-0.022591,-0.022622,-0.006017,-0.005711,0.002193,0.002674
196707,0.002388,0.0127,0.003421,0.003963,0.003585,0.003153
196708,-0.005861,-0.003583,-0.004121,0.003604,0.003543,0.00324
196709,-0.001377,0.002997,0.005173,0.003898,0.003582,0.003177
196710,-0.019336,-0.009823,-0.004437,0.003608,0.004351,0.003649
196711,-0.00775,0.00413,0.005281,0.003336,0.003855,0.003416
196712,0.005826,0.002675,0.001626,0.005063,0.004305,0.003565
196801,0.025016,0.014535,0.012919,0.007811,0.005109,0.003934
196802,0.00286,0.004659,0.003195,0.003471,0.003818,0.003849
196803,-0.022144,-0.002614,0.001987,0.003925,0.00396,0.003977
196804,0.016581,-0.002266,0.00232,0.002433,0.004138,0.004263
196805,-0.011209,0.007037,0.000611,0.004109,0.004647,0.004672
196806,0.03421,0.016664,0.010229,0.006931,0.005071,0.004436
196807,0.027353,0.017627,0.013864,0.009732,0.005311,0.00479
196808,0.000169,0.002098,0.003918,0.005443,0.004458,0.004476
196809,-0.001128,0.005196,0.004185,0.004091,0.004532,0.004203
196810,-0.008152,0.000911,0.001694,0.002143,0.004461,0.004394
196811,-0.016254,-0.001608,0.00238,0.003215,0.004862,0.004457
196812,-0.021185,-0.017329,-0.010824,-0.001385,0.003768,0.004249
196901,-0.000448,0.009271,0.007647,0.00592,0.005855,0.005025
